musicId,title,type,writer,composer,producer,genre,artist,album,releaseDate,src,duration,language,likes,downloads,lyrics,label,playCount,musicMood,storageTime,id,dramatic,aggressive,romantic,happy,sad,user_id,checkin_emotion_value,positive,negative,music_path
73,"国风堂,排骨教主 - 小城烟雨时.mp3",normal,,,,POP,,,,"test/国风堂,排骨教主 - 小城烟雨时.mp3",0,,0,0,,,0,,2023-12-19T21:19:47,6592abeb3713042ee2067c4b,0.110277504,0.034568373,0.11381833,0.7235838,0.017751975,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\73.wav
74,刘若英 - 成全.mp3,normal,,,,POP,,,,test/刘若英 - 成全.mp3,0,,0,0,,,0,,2023-12-19T21:20:09,6592abeb3713042ee2067c42,0.0024284374,0.1895196,0.7776975,0.0027198321,0.027634658,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\74.wav
75,刘若英 - 为爱痴狂.mp3,normal,,,,POP,,,,test/刘若英 - 为爱痴狂.mp3,0,,0,0,,,0,,2023-12-19T21:20:23,6592abeb3713042ee2067c41,0.4602271,0.0019951183,0.14043887,0.26491883,0.13242018,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\75.wav
76,刘若英 - 我曾爱过一个男孩.mp3,normal,,,,POP,,,,test/刘若英 - 我曾爱过一个男孩.mp3,0,,0,0,,,0,,2023-12-19T21:20:37,6592abeb3713042ee2067c43,0.7213462,0.024614494,0.16096246,0.022394596,0.07068226,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\76.wav
77,Hoàng Thùy Linh - Duyên Âm(Love of Ghosts).mp3,normal,,,,POP,,,,test/Hoàng Thùy Linh - Duyên Âm(Love of Ghosts).mp3,179,VietNamnese,0,0,,,0,,2023-12-19T21:20:49,6592abe73713042ee2067c06,0.22535959,0.73543864,0.010884871,0.022544315,0.0057726256,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\77.wav
78,刘奕忻 - 爱人错过.mp3,normal,,,,POP,,,,test/刘奕忻 - 爱人错过.mp3,0,,0,0,,,0,,2023-12-19T21:20:50,6592abeb3713042ee2067c40,0.0049733687,2.1083986e-06,0.99327844,5.060951e-06,0.0017409427,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\78.wav
79,"卢巧音,王力宏 - 好心分手.mp3",normal,,,,POP,,,,"test/卢巧音,王力宏 - 好心分手.mp3",0,,0,0,,,0,,2023-12-19T21:21:05,6592abeb3713042ee2067c45,8.726459e-06,1.0905826e-09,1.895641e-09,1.0467271e-08,0.9999913,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\79.wav
80,"塞壬唱片-MSR,Erik Castro - 不存在的乐园.mp3",normal,,,,ELECTRONIC,,,,"test/塞壬唱片-MSR,Erik Castro - 不存在的乐园.mp3",0,,0,0,,,0,,2023-12-19T21:21:31,6592abeb3713042ee2067c4c,0.033188332,0.966811,3.0206417e-07,3.67356e-07,3.979465e-08,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\80.wav
81,"塞壬唱片-MSR,Forts - Radiant.mp3",normal,,,,ELECTRONIC,,,,"test/塞壬唱片-MSR,Forts - Radiant.mp3",0,,0,0,,,0,,2023-12-19T21:22:12,6592abec3713042ee2067c4d,0.00048819266,0.9994624,6.8396666e-06,4.2497893e-05,2.2458784e-09,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\81.wav
82,"塞壬唱片-MSR,PMP - 光影.mp3",normal,,,,CLASSICAL,,,,"test/塞壬唱片-MSR,PMP - 光影.mp3",0,,0,0,,,0,,2023-12-19T21:22:48,6592abec3713042ee2067c4e,0.42418995,1.5380281e-05,0.57503855,0.00046246266,0.00029357197,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\82.wav
83,"塞壬唱片-MSR,PMP - 夕照.mp3",normal,,,,INSTRUMENTAL,,,,"test/塞壬唱片-MSR,PMP - 夕照.mp3",0,,0,0,,,0,,2023-12-19T21:23:36,6592abec3713042ee2067c4f,0.4998088,0.28977406,0.06317015,0.0879805,0.0592664,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\83.wav
